5.842,3.195,7.222
7.617,6.05,9.645
5.794,2.088,7.314
3.778,7.857,4.993
1.704,3.173,9.262
3.392,2.676,5.285
4.011,3.003,4.474
5.32,4.791,4.032
2.013,3.698,9.589
8.236,5.079,10.668
5.667,6.464,2.586
7.649,5.968,9.241
6.351,8.229,5.924
3.264,4.958,4.382
5.542,7.831,7.949
3.64,3.721,3.738
0.803,4.604,3.505
2.217,1.753,6.271
4.851,1.612,6.058
4.951,2.816,4.999
1.768,3.16,8.572
1.813,2.363,5.747
3.824,5.646,10.194
4.664,1.859,6.226
2.416,3.768,5.103
4.922,2.23,3.003
5.974,3.425,8.252
1.091,4.546,3.364
5.24,3.975,10.063
5.207,5.065,4.234
5.041,2.538,2.646
8.415,3.573,9.348
4.777,7.796,10.038
2.992,5.4,3.608
5.961,2.705,9.462
3.291,5.515,3.625
8.67,4.305,7.625
7.293,1.97,5.975
5.404,2.422,0.672
6.119,6.029,7.865
5.96,2.998,9.629
5.938,3.819,5.088
5.65,3.709,6.022
5.476,4.309,4.485
6.138,3.951,6.438
6.836,2.862,10.605
5.149,7.499,3.557
6.165,4.015,5.817
5.317,6.343,4.134
5.41,5.113,7.832
4.601,7.779,8.023
6.643,1.458,7.161
1.499,3.075,9.091
2.788,2.967,10.573
3.047,2.649,5.462
5.564,4.555,5.052
2.166,3.122,8.06
7.207,1.876,6.35
5.304,4.952,3.929
4.481,2.863,3.878
4.879,7.854,5.062
3.058,4.65,8.046
2.441,7.673,4.313
5.48,2.567,7.935
6.238,3.687,7.075
2.286,4.545,3.685
5.369,2.542,1.33
8.943,6.014,8.697
3.255,6.07,5.958
5.476,3.686,3.217
6.171,1.918,9.928
6.396,5.438,5.036
2.262,2.711,7.533
6.596,2.794,10.265
5.355,2.873,1.959
4.796,2.763,5.947
4.808,7.839,5.036
4.494,7.734,8.852
7.331,0.18,5.919
6.438,4.735,5.611
2.816,4.573,7.247
6.026,4.258,5.598
5.812,2.1,7.135
6.657,4.494,8.085
2.905,5.054,6.682
1.593,5.944,3.997
5.797,6.982,4.47
5.211,3.955,10.075
3.211,5.672,8.575
5.289,2.977,10.817
3.301,3.445,4.96
5.796,5.212,4.568
2.715,4.703,7.09
1.671,1.685,7.752
7.35,1.994,6.726
3.324,4.389,3.921
3.768,5.304,5.616
4.943,3.594,5.68
4.6,2.778,3.478
3.45,5.598,3.46
3.36,6.362,7.154
1.848,5.892,3.278
3.079,4.559,8.249
5.189,2.654,2.455
8.117,5.861,7.976
4.452,0.986,7.905
5.124,2.967,3.551
2.811,4.555,7.364
5.003,2.609,2.169
3.463,4.529,4.184
4.767,2.39,3.166
6.239,5.051,4.673
6.407,1.414,10.259
7.191,1.876,6.52
8.692,4.348,8.226
3.617,7.945,7.159
3.16,6.061,7.569
